Unnamed: 0,Brand,Price,Processor_Name,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,SSD,HDD,Adapter,Battery_Life,Battery_Life_num
1908,ASUS,49990.0,Intel Core i3 (11th Gen),Not Expandable,8 GB LP, LPDDR4X RAM,0.5454545454545454,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
1913,Acer,54990.0,AMD Quad-Core Ryzen 5, 32 GB Expandable,8 GB , DDR4 RAM ,0.38181818181818183,LED,15.6 ,"Radeon RX 560X GPU, 4 GB",256 GB SSD Storage , 1024 GB HDD Storage,0.4090909090909091, Upto 11 Hrs Battery Life,11.0
1914,Infinix,24990.0,Intel Celeron Quad-Core,Not Expandable,4 GB LP, LPDDR4X RAM,0.2,LCD,14 ,UHD,128 GB SSD Storage,No HDD,0.13636363636363635, Upto 11 Hrs Battery Life,11.0
1915,HP,52340.0,Intel Core i5 (11th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.45454545454545453,LCD,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 9.15 Hrs Battery Life,9.15
1918,Lenovo,37990.0,AMD Hexa-Core Ryzen 5, 16 GB Expandable,16 GB , DDR4 RAM ,0.38181818181818183,LCD,15.6 ,Radeon,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 9 Hrs Battery Life,9.0
1920,Lenovo,35100.0,Intel Core i3 (11th Gen), 12 GB Expandable,8 GB , DDR4 RAM ,0.5454545454545454,LCD,15.6 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 7 Hrs Battery Life,7.0
1921,Lenovo,29990.0,AMD Quad-Core Ryzen 5, 8 GB Expandable,4 GB , DDR4 RAM ,0.4,LED,15.6 ,Radeon Vega 8,NO SSD,1024 GB HDD Storage,0.13636363636363635, Upto 5 Hrs Battery Life,5.0
1935,Lenovo,31990.0,Intel Core i3 (11th Gen), 12 GB Expandable,8 GB , DDR4 RAM ,0.8727272727272727,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.19696969696969696, Upto 7 Hrs Battery Life,7.0
1936,HP,46500.0,Intel Core i3 (11th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.6181818181818182,LCD,15.6 ,UHD,512 GB SSD Storage,No HDD,0.13636363636363635, Upto 7 Hrs Battery Life,7.0
1937,Dell,44990.0,Intel Core i5 (8th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.29090909090909095,LED,14 ,"Radeon 520 GPU, 2 GB",NO SSD,1024 GB HDD Storage,0.13636363636363635, Upto 6 Hrs Battery Life,6.0
1938,ASUS,63990.0,Intel Core i5 (11th Gen), 32 GB Expandable,16 GB , DDR4 RAM ,0.49090909090909096,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",512 GB SSD Storage,No HDD,0.19696969696969696, Upto 8 Hrs Battery Life,8.0
1939,MSI,29800.0,Intel Core i3 (11th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.3090909090909091,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 10 Hrs Battery Life,10.0
1942,HP,53999.0,Intel Core i5 (12th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.23636363636363636,LCD,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 10 Hrs Battery Life,10.0
1945,ASUS,24890.0,Intel Celeron Dual-Core, 8 GB Expandable,4 GB , DDR4 RAM ,0.2,LCD,14 ,UHD,256 GB SSD Storage,No HDD,0.1, Upto 6 Hrs Battery Life,6.0
1947,Lenovo,26399.0,Intel Celeron Dual-Core,Not Expandable,8 GB , DDR4 RAM,0.2,LCD,15.6 ,UHD Graphics,256 GB SSD Storage,No HDD,0.13636363636363635, Upto 14 Hrs Battery Life,14.0
1952,Lenovo,69789.0,AMD Hexa-Core Ryzen 5, 16 GB Expandable,8 GB , DDR4 RAM ,0.5454545454545454,LED,15.6 ,"GeForce GTX 1650 GPU, 4 GB",256 GB SSD Storage , 1024 GB HDD Storage,0.19696969696969696, Upto 7.1 Hrs Battery Life,7.1
1954,Lenovo,22890.0,Intel Celeron Dual-Core, 8 GB Expandable,8 GB , DDR4 RAM ,0.2,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.13636363636363635, Upto 6 Hrs Battery Life,6.0
1957,Xiaomi,59999.0,Intel Core i5 (11th Gen),Not Expandable,8 GB , DDR4 RAM,0.5636363636363636,LED,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 12 Hrs Battery Life,12.0
1961,Lenovo,33941.0,AMD Hexa-Core Ryzen 5,Not Expandable,8 GB , DDR4 RAM,0.38181818181818183,LCD,15.6 ,Radeon,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 7.5 Hrs Battery Life,7.5
1963,ASUS,57990.0,Intel Core i5 (11th Gen), 32 GB Expandable,8 GB , DDR4 RAM ,0.49090909090909096,LCD,15.6 ,"GeForce RTX 2050 GPU, 4 GB",512 GB SSD Storage,No HDD,0.45454545454545453, Upto 6 Hrs Battery Life,6.0
1967,ASUS,22439.0,Intel Celeron Dual-Core, 8 GB Expandable,4 GB , DDR4 RAM ,0.509090909090909,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.11212121212121212, Upto 6 Hrs Battery Life,6.0
1971,Infinix,20290.0,Intel Celeron Quad-Core,Not Expandable,4 GB LP, LPDDR4X RAM,0.2,LCD,14 ,UHD,128 GB SSD Storage,No HDD,0.13636363636363635, Upto 11 Hrs Battery Life,11.0
1975,Lenovo,33650.0,Intel Core i3 (12th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.21818181818181817,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.0,Upto 12 Hrs Battery Life,12.0
1977,Lenovo,69999.0,Intel Core i5 (12th Gen), 16 GB Expandable,16 GB LP, LPDDR5 RAM ,0.21818181818181817,LCD,14 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 8 Hrs Battery Life,8.0
1979,Infinix,30990.0,Intel Core i3 (12th Gen),Not Expandable,8 GB LP, LPDDR4X RAM,0.14545454545454548,LCD,14 ,Iris Xe,512 GB SSD Storage,No HDD,0.0,Upto 11 Hrs Battery Life,11.0
1981,Acer,74699.0,Intel Core i5 (11th Gen) Processor, 32 GB Expandable,8 GB , DDR4 RAM ,0.0,LED,15.6 ,"GeForce RTX 3050 GPU, 4 GB",256 GB SSD Storage , 1024 GB HDD Storage,0.5454545454545454, Upto 8 Hrs Battery Life,8.0
1984,Lenovo,30290.0,AMD Quad-Core Ryzen 3,Not Expandable,8 GB , DDR4 RAM,0.4727272727272727,LCD,15.6 ,Radeon,512 GB SSD Storage,No HDD,0.13636363636363635, Upto 7.5 Hrs Battery Life,7.5
1986,Dell,50330.0,Intel Core i5 (11th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.7636363636363637,LED,15.6 ,Iris Xe,256 GB SSD Storage , 1024 GB HDD Storage,0.12727272727272726, Upto 8 Hrs Battery Life,8.0
1987,Lenovo,34990.0,Intel Core i3 (12th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.6,LCD,15.6 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
1988,ASUS,61990.0,AMD Hexa-Core Ryzen 5, 32 GB Expandable,8 GB , DDR4 RAM ,0.7272727272727273,LCD,15.6 ,"GeForce GTX 1650 GPU, 4 GB",512 GB SSD Storage,No HDD,0.19696969696969696, Upto 10 Hrs Battery Life,10.0
1995,Lenovo,38450.0,AMD Quad-Core Ryzen 5,Not Expandable,8 GB , DDR4 RAM,0.38181818181818183,LCD,15.6 ,Radeon Graphics,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 7.5 Hrs Battery Life,7.5
1996,HP,40990.0,Intel Core i3 (13th Gen), 8 GB Expandable,8 GB , DDR4 RAM ,0.7636363636363637,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 9 Hrs Battery Life,9.0
1997,Dell,38499.0,Intel Core i3 (10th Gen), 16 GB Expandable,4 GB , DDR4 RAM ,0.21818181818181817,LED,15.6 ,UHD,256 GB SSD Storage,No HDD,0.0,Upto 8 Hrs Battery Life,8.0
1998,ASUS,28990.0,Intel Celeron Dual-Core, 16 GB Expandable,8 GB , DDR4 RAM ,0.2,LCD,15.6 ,UHD,512 GB SSD Storage,No HDD,0.1, Upto 6 Hrs Battery Life,6.0
1999,HP,19890.0,AMD Dual-Core Athlon, 4 GB Expandable,4 GB , DDR4 RAM ,0.38181818181818183,LCD,15.6 ,Integrated,256 GB SSD Storage,No HDD,0.13636363636363635, Upto 4 Hrs Battery Life,4.0
2001,Lenovo,23819.0,Intel Celeron Dual-Core, 12 GB Expandable,4 GB , DDR4 RAM ,0.2,LCD,11.6 ,UHD,256 GB SSD Storage,No HDD,0.19696969696969696, Upto 8 Hrs Battery Life,8.0
2005,ASUS,29489.0,Intel Core i3 (10th Gen),Not Expandable,8 GB , DDR4 RAM,0.6181818181818182,LCD,14 ,UHD,NO SSD,1024 GB HDD Storage,0.11212121212121212, Upto 6 Hrs Battery Life,6.0
2013,ASUS,84999.0,AMD Octa-Core Ryzen 7, 32 GB Expandable,16 GB , DDR4 RAM ,0.8545454545454546,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",1024 GB SSD Storage,No HDD,0.6060606060606061, Upto 12 Hrs Battery Life,12.0
2016,HP,24990.0,AMD Dual-Core Athlon, 16 GB Expandable,8 GB , DDR4 RAM ,0.6,LCD,14 ,Integrated,NO SSD,1024 GB HDD Storage,0.12424242424242424, Upto 9.15 Hrs Battery Life,9.15
2018,HP,62917.0,Intel Core i5 (12th Gen), 16 GB Expandable,16 GB , DDR4 RAM ,0.7636363636363637,LCD,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 10 Hrs Battery Life,10.0
2019,HP,43990.0,Intel Core i3 (10th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.7272727272727273,LED,15.6 ,UHD,512 GB SSD Storage,No HDD,0.13636363636363635, Upto 12 Hrs Battery Life,12.0
2025,Honor,48990.0,Intel Core i5 (12th Gen), 8 GB Expandable,8 GB LP, LPDDR4X RAM ,0.36363636363636365,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 12 Hrs Battery Life,12.0
